name,writer,translator,publisher,year_of_publication,format,number_of_pages,language,ISBN,category,price
 ایلیا تولد یک قهرمان 2,امین توکلی,-,انتشارات کمیکا,۱۳۹۸,PDF,35,فارسی,978-622-95423-1-6,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 ایلیا تولد یک قهرمان 3,امین توکلی,-,انتشارات کمیکا,۱۳۹۸,PDF,35,فارسی,978-622-95423-4-7,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 سندباد,جنت هاردی گلد,رویا حاج زاده دباغی, موسسه فرهنگی آرمان رشد,۱۳۹۸,PDF,31,فارسی,978-600-9870-96-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ایلیا تولد یک قهرمان 5,امین توکلی,-,انتشارات کمیکا,۱۳۹۸,PDF,35,فارسی,978-622-95423-8-5,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 سفر به مرکز زمین,ژول ورن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۰,PDF,60,فارسی,978-600-5550-10-8,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: عصای اوتوکار,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-33-1,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: کوسه‌های دریای سرخ,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-18-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 بنجامین فرانکلین: نابغه آمریکایی,کی ملکسیدک اولسون,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۹,PDF,33,فارسی,978-600-5550-82-5,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ارنست شکلتون و سفر اکتشافی به قاره جنوبگان,بی ای هوئنا,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۹,PDF,34,فارسی,978-600-555086-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 جادوی الکتریسیته: چگونه نیکلا تسلا دنیا را روشن کرد,الیزابت راش,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۸,PDF,49,فارسی,978-600-5550-76-4,کتاب‌های کمیک و رمان‌های مصور,20000 ت - 2.49 یورو
 آدلی نرمال 1,اتیس فرامپتون,مینا قنواتی,انتشارات سیمای شرق,۱۳۹۷,PDF,125,فارسی,978-600-6628-85-1,کتاب‌های کمیک و رمان‌های مصور,30000 ت - 3.99 یورو
 قصه‌های من و بچه‌هام: طوطی,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-600-6628-75-2,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 آدلی نرمال 2,اتیس فرامپتون,مینا قنواتی,انتشارات سیمای شرق,۱۳۹۷,PDF,125,فارسی,978-600-6628-92-9,کتاب‌های کمیک و رمان‌های مصور,30000 ت - 3.99 یورو
 قصه‌های من و بچه‌هام: خرمالو,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-622-6093-15-6,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 قصه‌های من و بچه‌هام: تونل وحشت,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-600-6628-68-4,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 ایلیا تولد یک قهرمان 6,امین توکلی,-,انتشارات کمیکا,۱۳۹۸,PDF,35,فارسی,978-622-967770-4,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 سفرهای گالیور,جاناتان سویفت,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-06-1,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 پرنده و سنجاب 2: نهنگ گرسنه,جیمز برکس,آرزو صبوری,انتشارات پرتقال,۱۳۹۸,PDF,137,فارسی,978-600-462-179-3,کتاب‌های کمیک و رمان‌های مصور,19000 ت - 3.99 یورو
کمیک همسفر با شیطان,دانیل دفو,محمدصادق جابری فرد,,PDF,33,فارسی,,,,رایگان - 0 یورو
 پرنده و سنجاب 3: لبه‌ی پرتگاه,جیمز برکس,آرزو صبوری,انتشارات پرتقال,۱۳۹۸,PDF,153,فارسی,978-600-462-180-9,کتاب‌های کمیک و رمان‌های مصور,19000 ت - 3.99 یورو
 پرنده و سنجاب 4: فرار از آتش,جیمز برکس,آرزو صبوری,انتشارات پرتقال,۱۳۹۸,PDF,201,فارسی,978-600-462-181-6,کتاب‌های کمیک و رمان‌های مصور,17000 ت - 3.49 یورو
 زندگینامه تصویری هری هودینی,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۹,PDF,30,فارسی,,,3900 ت - 0.49 یورو
 آبشار جاذبه: چهار افسانه شگفت انگیز (افسانه‌های گم شده),الکس هیرش,خلیل هیبتی, موسسه انتشاراتی فرهنگی اشتیاق نور,۱۳۹۹,PDF,144,فارسی,978-600-365045-6,کتاب‌های کمیک و رمان‌های مصور,88000 ت - 16.49 یورو
 قصه‌های من و بچه‌هام: سه اسب چوبی,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-600-6628-60-8,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 پرنده و سنجاب 1: بزن به جاده,جیمز برکس,آرزو صبوری,انتشارات پرتقال,۱۳۹۸,PDF,137,فارسی,978-600-462-178-6,کتاب‌های کمیک و رمان‌های مصور,17000 ت - 3.49 یورو
 تیزگوش,سی سی بل,نیلوفر امن زاده,انتشارات پرتقال,۱۳۹۹,PDF,249,فارسی,978-600-8111-84-9,کتاب‌های کمیک و رمان‌های مصور,49600 ت - 9.49 یورو
 قصه‌های من و بچه‌هام: شکایت,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-622-6093-11-8,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 شاهزاده سیاه پوش و ویروس کرونا,شانون هیل,شیدا رنجبر,انتشارات پرتقال,۱۳۹۹,PDF,8,فارسی,978-622-274116-7,کتاب‌های کمیک و رمان‌های مصور,رایگان - 0 یورو
 پلیس قهرمان 1,دیو پیلکی,محمدسعید دانشمندی,انتشارات پرتقال,۱۳۹۹,PDF,249,فارسی,978-600-462-128-1,کتاب‌های کمیک و رمان‌های مصور,49200 ت - 8.99 یورو
 پلیس قهرمان 2: ھدیه‌ی اشتباھی,دیو پیلکی,محمدسعید دانشمندی,انتشارات پرتقال,۱۳۹۹,PDF,225,فارسی,978-600-462-129-8,کتاب‌های کمیک و رمان‌های مصور,45200 ت - 8.49 یورو
 دو تا دوست خمیری,دیو پتی,پریسا هاشمی طاهری,انتشارات پرتقال,۱۳۹۷,PDF,37,فارسی,978-600-462-410-7,کتاب‌های کمیک و رمان‌های مصور,24800 ت - 4.99 یورو
 پلیس قهرمان 3: حمله‌ی خانه‌های عصبانی,دیو پیلکی,محمدسعید دانشمندی,انتشارات پرتقال,۱۳۹۸,PDF,253,فارسی,978-600-462-804-4,کتاب‌های کمیک و رمان‌های مصور,50800 ت - 9.49 یورو
 من نمی‌خواهم قورباغه باشم,دیو پتی,آناهیتا حضرتی کیاوندانی,انتشارات پرتقال,۱۳۹۹,PDF,29,فارسی,978-600-462-095-6,کتاب‌های کمیک و رمان‌های مصور,24800 ت - 4.99 یورو
 دور دنیا در هشتاد روز: ماجراجویی‌های آقای فاگ,ژول ورن,زینب حق جو, موسسه فرهنگی آرمان رشد,۱۴۰۰,PDF,31,فارسی,978-622-243-484-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 محافظان وجود,اکهارت تله,مریم تقدیسی,انتشارات بذر خرد,۱۴۰۰,PDF,116,فارسی,978-622-734149-2,کتاب موفقیت و خودسازی,19500 ت - 3.99 یورو
 زندگینامه تصویری جکی رابینسون,مجید عاطفی,-, دانش نگاران برنا,۱۴۰۰,PDF,30,فارسی,,,3900 ت - 0.49 یورو
 من آلبرت اینشتین هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۳۹۹,PDF,45,فارسی,978-600-462-027-7,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 قصه‌های من و بچه‌هام: چمدان,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۹,PDF,25,فارسی,978-622-609316-3,کتاب‌های کمیک و رمان‌های مصور,15600 ت - 1.99 یورو
 ایلیا تولد یک قهرمان 9,امین توکلی,-,انتشارات کمیکا,۱۳۹۹,PDF,40,فارسی,978-622-737606-7,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 ایلیا تولد یک قهرمان 10,امین توکلی,-,انتشارات کمیکا,۱۳۹۹,PDF,40,فارسی,978-622-7376-07-4,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
  ایلیا تولد یک قهرمان 11,امین توکلی,-,انتشارات کمیکا,۱۳۹۹,PDF,40,فارسی,978-622-737618-0,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 پیلو، پری جنگل,مای کی. نوئن,روناک ربیعی,انتشارات پرتقال,۱۴۰۱,PDF,165,فارسی,978-600-462-997-3,کتاب‌های کمیک و رمان‌های مصور,41600 ت - 7.99 یورو
 مکس و نیمچه شوالیه‌ها 2: نبرد بدکین‌ها,لینکلن پیرس,نیلوفر امن زاده,انتشارات پرتقال,۱۴۰۰,PDF,269,فارسی,978-622-274-138-9,کتاب داستان کودک,37600 ت - 6.99 یورو
 تازه وارد,جری کرفت,مریم رئیسی,انتشارات پرتقال,۱۳۹۹,PDF,265,فارسی,978-600-462944-7,کتاب‌های کمیک و رمان‌های مصور,57600 ت - 10.49 یورو
 تاریخ جهان 3: تمدن هند و چین باستان,گروه نویسندگان,تاکاموری, کتاب چ,۱۴۰۰,PDF,163,فارسی,978-622-6839-88-4,کتاب‌های کمیک و رمان‌های مصور,34000 ت - 4.49 یورو
 قصه‌های من و بچه‌هام: مورچه,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-600-6628-71-4,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 ایلیا تولد یک قهرمان 12,امین توکلی,-,انتشارات کمیکا,۱۴۰۰,PDF,36,فارسی,978-622-7376-22-7,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 ایلیا تولد یک قهرمان 16,امین توکلی,-,انتشارات کمیکا,۱۴۰۱,PDF,40,فارسی,978-622-98415-8-7,کتاب‌های کمیک و رمان‌های مصور,29500 ت - 3.49 یورو
 بادبادک باز,خالد حسینی,نیلوفر امن زاده,انتشارات پرتقال,۱۳۹۹,PDF,137,فارسی,978-600-462-763-4,کتاب‌های کمیک و رمان‌های مصور,29000 ت - 5.99 یورو
 این منم هلن کلر,برد ملتزر,زهرا غفاری,انتشارات مهرسا,۱۴۰۰,PDF,45,فارسی,978-600-9890-47-7,کتاب‌های کمیک و رمان‌های مصور,14500 ت - 1.99 یورو
 شرلوک هولمز و معماهای خاک: آموزش خاکشناسی نوین برای کودکان و نوجوانان,عبدالله کاویانی راد,-,انتشارات مرجع علم,۱۴۰۰,PDF,96,فارسی,978-600-7766-00-4,کتاب‌های کمیک و رمان‌های مصور,30000 ت - 3.99 یورو
 قصه‌های من و بچه‌هام: هندوانه,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۸,PDF,25,فارسی,978-600-6628-62-2,کتاب‌های کمیک و رمان‌های مصور,17100 ت - 2.49 یورو
 ایلیا تولد یک قهرمان 4,امین توکلی,-,انتشارات کمیکا,۱۳۹۸,PDF,35,فارسی,978-622-95423-7-8,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
